batch_number, action_loss, declare_loss, win_%, declare_accuracy_%
0, 2.0404800507757397, 0.17058929800987244, 0.4, nan
1, 1.395652981180894, 0.22114531695842743, 0.4, nan
2, 0.8133415173867653, 0.17756096522013348, 0.4, 0.0
